id,key,value,type
29569429,created_by,YahooApplet 1.1,regular
29838679,state,SC,addr
29838679,aeroway,aerodrome,regular
29838679,alt_name,Greenville Jet Center,regular
29838679,closest_town,"Greenville, South Carolina",regular
29838679,ele,314,regular
29838679,faaid,GMU,regular
29838679,county_name,Greenville,gnis
29838679,created,09/01/1992,gnis
29838679,feature_id,1251902,gnis
29838679,feature_type,Airport,gnis
29838679,iata,GMU,regular
29838679,icao,KGMU,regular
29838679,name,Greenville Downtown Airport,regular
29838679,en,Greenville Downtown Airport,name
29838679,operator,Greenville Airport Commission,regular
29838679,ref,KGMU,regular
29838679,source,wikipedia,regular
29838679,type,public,regular
29838679,website,http://greenvillejetcenter.com/,regular
29838679,wikidata,Q3914065,regular
29838679,wikipedia,en:Greenville Downtown Airport,regular
30199441,continent,North America,is_in
30199441,country,USA,is_in
30199441,name,Greenville,regular
30199441,en,Greenville,name
30199441,ru,Гринвилл,name
30199441,place,city,regular
30199441,population,60709,regular
30199441,wikidata,Q574192,regular
112646999,highway,turning_circle,regular
112648312,highway,turning_circle,regular
112648648,highway,traffic_signals,regular
112650848,highway,motorway_junction,regular
112650848,ref,31,regular
112650979,highway,motorway_junction,regular
112650979,ref,44A,regular
112650979,right,44A,ref
112651041,highway,motorway_junction,regular
112651041,ref,44B,regular
112651041,left,44A,ref
112651041,right,44B,ref
112653591,highway,motorway_junction,regular
112653591,ref,44B,regular
112653591,right,44B,ref
112654294,highway,motorway_junction,regular
112654294,ref,42,regular
112654303,highway,motorway_junction,regular
112654916,power,tower,regular
112657148,highway,motorway_junction,regular
112657148,ref,46A,regular
112657148,left,46B-C,ref
112657148,right,46A,ref
112657226,highway,traffic_signals,regular
112658717,highway,motorway_junction,regular
112658717,ref,42,regular
112658782,highway,traffic_signals,regular
112662665,highway,motorway_junction,regular
112662665,ref,48B,regular
112663076,highway,motorway_junction,regular
112663076,ref,16,regular
112664009,highway,motorway_junction,regular
112664009,ref,48A,regular
112665871,highway,traffic_signals,regular
112666561,highway,turning_circle,regular
112667923,highway,traffic_signals,regular
112668497,highway,motorway_junction,regular
112668497,ref,12,regular
112670268,highway,motorway_junction,regular
112670268,ref,51B,regular
112670268,left,51C,ref
112670268,right,51B,ref
112670672,highway,turning_circle,regular
112670953,railway,level_crossing,regular
112671169,destination,Atlanta,regular
112671169,ref,I 85 South;US 29 South,destination
112671169,highway,motorway_junction,regular
112671169,ref,14B,regular
112671301,highway,traffic_signals,regular
112671383,highway,traffic_signals,regular
112671487,highway,motorway_junction,regular
112671487,noref,yes,regular
112671496,highway,motorway_junction,regular
112671496,ref,51,regular
112671508,highway,motorway_junction,regular
112671508,ref,51A,regular
112671508,left,51B-C,ref
112671508,right,51A,ref
112671560,highway,traffic_signals,regular
112672274,highway,motorway_junction,regular
112672274,ref,46C,regular
112672274,right,46C,ref
112672978,highway,traffic_signals,regular
112674463,highway,traffic_signals,regular
112676548,highway,turning_circle,regular
112677472,highway,traffic_signals,regular
112677781,highway,motorway_junction,regular
112677781,ref,14B,regular
112678481,highway,traffic_signals,regular
112679989,highway,motorway_junction,regular
112679989,ref,14A,regular
112680565,highway,traffic_signals,regular
112680595,highway,motorway_junction,regular
112680595,ref,37,regular
112681884,highway,traffic_signals,regular
112682164,highway,turning_circle,regular
112682372,highway,motorway_junction,regular
112682372,ref,51C,regular
112682372,left,51A,ref
112682372,right,51C,ref
112682436,highway,motorway_junction,regular
112682436,ref,51C,regular
112682436,right,51C,ref
112682548,highway,motorway_junction,regular
112682548,ref,14A,regular
112683706,highway,motorway_junction,regular
112683706,ref,40B,regular
112684102,highway,motorway_junction,regular
112684102,ref,34,regular
112684280,highway,motorway_junction,regular
112684280,ref,40A,regular
112684573,highway,traffic_signals,regular
112685006,highway,motorway_junction,regular
112685006,ref,54,regular
112685151,highway,traffic_signals,regular
112685409,railway,level_crossing,regular
112685481,highway,turning_circle,regular
112685489,highway,motorway_junction,regular
112685489,ref,48A,regular
112685698,highway,motorway_junction,regular
112685698,ref,33,regular
112686313,highway,traffic_signals,regular
112689366,highway,motorway_junction,regular
112689366,noref,yes,regular
112690396,highway,traffic_signals,regular
112691390,highway,motorway_junction,regular
112694754,highway,motorway_junction,regular
112694754,ref,48B,regular
112695279,highway,traffic_signals,regular
112695742,highway,motorway_junction,regular
112695742,ref,46B,regular
112695742,left,46C,ref
112695742,right,46B,ref
112696056,highway,traffic_signals,regular
112696708,highway,motorway_junction,regular
112696708,ref,40B,regular
112699320,highway,motorway_junction,regular
112699320,ref,40A,regular
112700339,highway,motorway_junction,regular
112700339,ref,46,regular
112701850,highway,motorway_junction,regular
112701850,ref,15,regular
112701930,highway,motorway_junction,regular
112701930,ref,46C,regular
112701930,left,46A,ref
112701930,right,46C,ref
112703243,highway,traffic_signals,regular
112703243,traffic_signals,signal,regular
112703702,highway,traffic_signals,regular
112705203,highway,turning_circle,regular
112707208,highway,traffic_signals,regular
112707213,highway,traffic_signals,regular
112707232,highway,traffic_signals,regular
112707239,highway,traffic_signals,regular
112707245,highway,traffic_signals,regular
112707263,highway,traffic_signals,regular
112707268,highway,traffic_signals,regular
112708431,bicycle,yes,regular
112708431,crossing,uncontrolled,regular
112708431,highway,crossing,regular
112709020,crossing,uncontrolled,regular
112709020,highway,crossing,regular
112710008,highway,turning_circle,regular
112710058,highway,turning_circle,regular
112712445,railway,level_crossing,regular
112712448,railway,level_crossing,regular
112712519,railway,level_crossing,regular
112712566,railway,level_crossing,regular
